"新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"新竹縣五峰鄉泰雅族永續發展協會充實設備費(35-","25)","五峰鄉","50","50","一般建築及設備其它","公共設施工程","五峰鄉公所","辦理中","辦理中"
"新竹縣立博愛國民中學小型工程(9-7)","竹北市","98","98","一般建築及設備其它","公共設施工程","竹北市公所","逕洽廠商","三禾工程行"
"關西鎮東安里11鄰道路改善工程(父浪埤)(21-15)","關西鎮","100","100","一般建築及設備其它","公共設施工程","關西鎮公所","公開","立新營造"
"尖石鄉玉峰村玉峰段681.682地號農用灌溉飲水設施(38","-","尖石鄉","90","90","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"竹東鎮三重里金福街整修路樹工程(29-23)","竹東鎮","35","35","一般建築及設備其它","公共設施工程","竹東鎮公所","有","文華企業社"
"尖石鄉梅花村5鄰飲水設施(38-13)","尖石鄉","25","25","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"寶山鄉農會設備費(35-26)","寶山鄉","90","90","一般建築及設備其它","公共設施工程","寶山鄉公所","無","辦理中"
"新竹縣寶山鄉山湖社區發展協會充實設備費(35-27)","寶山鄉","81","81","一般建築及設備其它","公共設施工程","寶山鄉公所","無","辦理中"
"新竹縣水上救生協會充實設備(9-8)","竹北市","99","99","一般建築及設備其它","公共設施工程","竹北市公所","逕洽廠商","安興實業社"
"橫山鄉橫山村18鄰路燈工程(27-37)","橫山鄉","15","15","一般建築及設備其它","公共設施工程","橫山鄉公所","無","明新水電"
"新竹縣立新埔國民中學購置飲水機兩台(25-46)","新埔鎮","56","56","一般建築及設備其它","公共設施工程","新埔鎮公所","逕洽廠商","喬揚實業"
"寶山鄉新城村寶新路2段裝設路燈1盞(35-28)","寶山鄉","15","15","一般建築及設備其它","公共設施工程","寶山鄉公所","無","龍昌水電"
