"單位：千元"
" 核定金額","經","費","支","用","科","目","主","辦","機","關","招","標","方","式","得","標","廠","商"
"新竹縣尖石鄉玉峰國民小學充實設備(35-19)","尖石鄉","70","70","一般建築及設備其它公共設施工程","尖石鄉公所","逕洽廠商","一級棒運動用","品社","新竹縣北埔鄉南埔社區發展協會充實社區設備費(36-1)","北埔鄉","98","98","一般建築及設備其它公共設施工程","北埔鄉公所","逕洽廠商","卡本特國際公","司","新埔鎮鹿鳴里集會所裝設鐵門窗設備(2-1)","新埔鎮","100","100","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"關西鎮石光里石岡子300巷工程款(2-2)","關西鎮","95","95","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","康基土木包工"
"新豐鄉新豐村11鄰駁坎工程(20-3)","新豐鄉","99","99","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","田羅工程行"
"新竹縣寶山鄉寶山村新湖路駁坎及擋土牆工程(35-20)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","公開招標","辦理中"
"新竹縣政府警察局資訊室資訊安全加密系統建置(1-12)","竹北市","600","600","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣竹北市十興國民小學工程費(1-13)(廁所抽風機及加裝定時器)","竹北市","135","135","一般建築及設備其它公共設施工程","竹北市公所","逕洽廠商","詠大消防安全","設備","新竹縣竹北市十興國民小學充實設備(1-14)","竹北市","350","350","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"竹北市興隆路.東興路708巷路段社區道路設置2組錄影監視系統主機及13支攝影機","竹北市","698","698","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣湖口鄉中興國民小學充實設備(11-2)","湖口鄉","96","96","一般建築及設備其它公共設施工程","湖口鄉公所","逕洽廠商","華燈光電"
"新豐鄉危險路段路燈設置(19-7)","新豐鄉","98","98","一般建築及設備其它公共設施工程","新豐鄉公所","開口契約","秀星興業公司"
"新豐鄉忠孝社區發展協會充實設備(19-8)","新豐鄉","30","30","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"芎林鄉石潭社區發展協會(長壽俱樂部)充實設備(26-4)","芎林鄉","30","30","一般建築及設備其它公共設施工程","芎林鄉公所","逕洽廠商","青青音響新竹縣立芎林國民中學充實設備(26-5)","芎林鄉","90","90","一般建築及設備其它公共設施工程","芎林鄉公所","逕洽廠商","家鄉企業"
"新竹縣竹東鎮員崠國民小學環境綠化整理工程(28-2)","竹東鎮","90","90","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"竹東鎮東寧社區集會所飲水機設備(30-4)","竹東鎮","32","32","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","佳瀅企業"
"新竹縣政府警察局竹東分局下公館派出所電腦設備(30-5)","竹東鎮","50","50","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","廣宇電腦數位"
"竹東鎮公所調解委員會充實設備(33-3)","竹東鎮","25","25","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","政昌廚飾"
"竹東鎮大同路與榮樂街.長春路口錄影監視系統設置(33-4)","竹東鎮","73","73","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"新竹縣政府警察局竹東分局楓橋派出所充實設備(35-21)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","韓昌福光能科","技","新竹縣政府警察局竹東分局新城派出所充實設備(35-22)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","韓昌福光能科","技","新竹縣政府警察局竹東分局寶山分駐所充實設備(35-23)","寶山鄉","90","90","一般建築及設備其它公共設施工程","寶山鄉公所","逕洽廠商","韓昌福光科技"
"新豐鄉崎頂村建興路2段335巷至337巷綠美化及駁坎等工程(17-2)","新豐鄉","97","97","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新竹縣新豐鄉松林國民小學中庭花台美化工程(18-6)","新豐鄉","50","50","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新竹縣湖口鄉新湖國民小學充實設備(19-9)","湖口鄉","99","99","一般建築及設備其它公共設施工程","湖口鄉公所","公開招標","易禾國際"
"新埔鎮巨埔里13鄰駁坎工程(25-1)(註銷)","新埔鎮","0","0","一般建築及設備其它公共設施工程","新埔鎮公所","-"
"新埔鎮清水里14鄰道路水溝工程(25-2)","新埔鎮","80","80","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","昀宜營造"
"橫山鄉新興社區發展協會資訊暨攝影設備(27-7)","橫山鄉","40","40","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中橫山鄉沙坑村11鄰擋土牆工程(27-8)(註銷)","橫山鄉","0","0","一般建築及設備其它公共設施工程","橫山鄉公所","-"
"橫山社區發展協會影音設備暨充實設備費(27-9)","橫山鄉","70","70","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"竹東鎮仁愛里消防設施(28-3)","竹東鎮","30","30","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"竹東鎮瑞峰里路燈工程(28-4)","竹東鎮","70","70","一般建築及設備其它公共設施工程","竹東鎮公所","開口契約","明成工程行"
"新埔鎮文山里文山路941巷88號宅前路燈1盞(23-13)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新竹縣新埔鎮北平國民小學改善校園教學環境(23-14)","新埔鎮","60","60","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","宏祥割草機行"
